"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","2","0","0"
"充电、预约","充电、预约或涉及流程业务接口","查询预约订单","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","查询运营商电价","0","0","2","0","0"
"充电、预约","充电、预约或涉及流程业务接口","结束预约","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","查询充电订单list","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","充电订单金额与度数统计","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","开始预约","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","查询充电订单","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","查询充电枪","0","0","1","0","0"
"充电、预约","充电、预约或涉及流程业务接口","站点详情","0","0","1","0","0"
